Date,State,People Vaccinated,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Total Doses Administered
16-01-2021,Andaman and Nicobar Islands,23,23,0,12,11,23
17-01-2021,Andaman and Nicobar Islands,23,23,0,12,11,23
18-01-2021,Andaman and Nicobar Islands,42,42,0,29,13,42
19-01-2021,Andaman and Nicobar Islands,89,89,0,53,36,89
20-01-2021,Andaman and Nicobar Islands,124,124,0,67,57,124
21-01-2021,Andaman and Nicobar Islands,239,239,0,110,129,239
22-01-2021,Andaman and Nicobar Islands,552,552,0,231,321,552
23-01-2021,Andaman and Nicobar Islands,920,920,0,342,578,920
24-01-2021,Andaman and Nicobar Islands,966,966,0,357,609,966
25-01-2021,Andaman and Nicobar Islands,1519,1519,0,447,1072,1519
26-01-2021,Andaman and Nicobar Islands,1519,1519,0,447,1072,1519
27-01-2021,Andaman and Nicobar Islands,1519,1519,0,447,1072,1519
28-01-2021,Andaman and Nicobar Islands,1956,1956,0,563,1393,1956
29-01-2021,Andaman and Nicobar Islands,2024,2024,0,588,1436,2024
30-01-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,2060
31-01-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,2060
01-02-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,2060
02-02-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,2060
03-02-2021,Andaman and Nicobar Islands,2107,2107,0,601,1506,2107
04-02-2021,Andaman and Nicobar Islands,2290,2290,0,659,1631,2290
05-02-2021,Andaman and Nicobar Islands,2514,2514,0,705,1809,2514
06-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
07-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
08-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
09-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
10-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
11-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
12-02-2021,Andaman and Nicobar Islands,2852,2852,0,773,2079,2852
13-02-2021,Andaman and Nicobar Islands,3040,3040,0,938,2102,3040
14-02-2021,Andaman and Nicobar Islands,3040,3040,0,938,2102,3040
15-02-2021,Andaman and Nicobar Islands,3363,3363,104,1176,2187,3467
16-02-2021,Andaman and Nicobar Islands,3363,3363,104,1176,2187,3467
17-02-2021,Andaman and Nicobar Islands,3560,3560,104,1343,2217,3664
18-02-2021,Andaman and Nicobar Islands,3505,3505,341,1455,2050,3846
19-02-2021,Andaman and Nicobar Islands,4246,4246,652,1805,2441,4898
20-02-2021,Andaman and Nicobar Islands,4707,4707,946,2221,2486,5653
21-02-2021,Andaman and Nicobar Islands,4707,4707,946,2221,2486,5653
22-02-2021,Andaman and Nicobar Islands,5358,5358,1498,2773,2585,6856
23-02-2021,Andaman and Nicobar Islands,5436,5436,1622,2831,2605,7058
24-02-2021,Andaman and Nicobar Islands,5518,5518,1722,2896,2622,7240
